id,key,value,type
21442033,capital,4,regular
21442033,ele,6,regular
21442033,name,Honolulu,regular
21442033,place,city,regular
21442033,population,390738,regular
21442033,source,Landsat,regular
21442033,state_capital,yes,regular
21442033,wikidata,Q18094,regular
21442033,wikipedia,en:Honolulu,regular
110500653,highway,traffic_signals,regular
110500657,highway,traffic_signals,regular
110500660,highway,traffic_signals,regular
110500663,highway,traffic_signals,regular
110500666,highway,traffic_signals,regular
110500669,highway,traffic_signals,regular
110500679,highway,traffic_signals,regular
110500688,highway,traffic_signals,regular
110500707,highway,traffic_signals,regular
110500884,highway,turning_circle,regular
110501880,highway,traffic_signals,regular
110501930,highway,motorway_junction,regular
110501930,ref,25A,regular
110501946,highway,turning_circle,regular
110505114,highway,motorway_junction,regular
110506925,noexit,yes,regular
110507123,highway,traffic_signals,regular
110509212,highway,turning_circle,regular
110511132,highway,traffic_signals,regular
110511136,highway,traffic_signals,regular
110517473,highway,turning_circle,regular
110517572,highway,turning_circle,regular
110518799,highway,traffic_signals,regular
110518799,traffic_signals,signal,regular
110518965,highway,traffic_signals,regular
110518965,traffic_signals,signal,regular
110519187,highway,traffic_signals,regular
110519896,highway,motorway_junction,regular
110519896,ref,8C,regular
110521213,highway,motorway_junction,regular
110521325,power,tower,regular
110522908,highway,turning_circle,regular
110523433,highway,traffic_signals,regular
110524063,barrier,gate,regular
110524063,bicycle,yes,regular
110524063,foot,yes,regular
110524063,motor_vehicle,no,regular
110524938,highway,traffic_signals,regular
110525128,barrier,gate,regular
110525461,noexit,yes,regular
110529362,highway,turning_circle,regular
110529768,highway,turning_circle,regular
110532250,highway,traffic_signals,regular
110532250,traffic_signals,signal,regular
110532306,highway,turning_circle,regular
110532883,highway,traffic_signals,regular
110532883,traffic_signals,signal,regular
110532973,highway,traffic_signals,regular
110534959,highway,traffic_signals,regular
110535279,highway,traffic_signals,regular
110535279,source,Yahoo,regular
110535279,traffic_signals,signal,regular
110535290,highway,motorway_junction,regular
110535290,ref,1D,regular
110535352,highway,motorway_junction,regular
110535352,ref,2,regular
110535747,highway,traffic_signals,regular
110535872,highway,turning_circle,regular
110536007,highway,traffic_signals,regular
110536029,highway,traffic_signals,regular
110536032,highway,traffic_signals,regular
110536110,highway,turning_circle,regular
110536110,source,Bing,regular
110536568,direction,backward,regular
110536568,highway,stop,regular
110536798,highway,traffic_signals,regular
110536892,highway,turning_circle,regular
110536892,source,Bing,regular
110537041,noexit,yes,regular
110537066,highway,turning_circle,regular
110537124,golf,cartpath,regular
110537124,golf_cart,designated,regular
110537124,highway,turning_circle,regular
110537124,source,Bing,regular
110537240,highway,turning_circle,regular
110537302,highway,turning_circle,regular
110537730,noexit,yes,regular
110537741,noexit,yes,regular
110537838,highway,traffic_signals,regular
110537848,highway,traffic_signals,regular
110538088,highway,turning_circle,regular
110538153,highway,traffic_signals,regular
110538478,highway,turning_circle,regular
110538891,noexit,yes,regular
110539252,highway,turning_circle,regular
110539263,highway,traffic_signals,regular
110539372,highway,traffic_signals,regular
110539372,traffic_signals,signal,regular
110539716,highway,turning_circle,regular
110539897,highway,turning_circle,regular
110540011,highway,traffic_signals,regular
110540011,traffic_signals,signal,regular
110540013,highway,traffic_signals,regular
110540196,highway,turning_circle,regular
110540309,highway,turning_circle,regular
110540384,highway,turning_circle,regular
110540436,highway,turning_circle,regular
110541001,highway,turning_circle,regular
110541162,highway,turning_circle,regular
110541247,highway,turning_circle,regular
110541309,highway,traffic_signals,regular
110541463,highway,turning_circle,regular
110541553,access,private,regular
110541553,highway,turning_circle,regular
110541712,highway,traffic_signals,regular
110541949,highway,traffic_signals,regular
