id,key,value,type
,,,
4045672,aeroway,taxiway,regular
,,,
4045672,ref,RA,regular
,,,
10390766,natural,coastline,regular
,,,
10390766,place,islet,regular
,,,
10569276,aeroway,taxiway,regular
,,,
10569276,ref,RG,regular
,,,
10569287,aeroway,taxiway,regular
,,,
10569287,ref,RM,regular
,,,
10569319,aeroway,taxiway,regular
,,,
10569319,ref,RH,regular
,,,
10569341,aeroway,taxiway,regular
,,,
10569341,ref,B,regular
,,,
10569351,aeroway,taxiway,regular
,,,
10569351,ref,E,regular
,,,
10569362,aeroway,taxiway,regular
,,,
10569362,ref,RB,regular
,,,
10569369,aeroway,taxiway,regular
,,,
10569369,ref,A,regular
,,,
10569375,aeroway,taxiway,regular
,,,
10569375,ref,L,regular
,,,
12196975,highway,residential,regular
,,,
12196975,name,Mokunoio Place,regular
,,,
12196975,cfcc,A41,tiger
,,,
12196975,county,"Honolulu, HI",tiger
,,,
12196975,name_base,Mokunoio,tiger
,,,
12196975,name_type,Pl,tiger
,,,
12196987,highway,residential,regular
,,,
12196987,lanes,2,regular
,,,
12196987,name,Wilder Avenue,regular
,,,
12196987,surface,asphalt,regular
,,,
12196987,cfcc,A41,tiger
,,,
12196987,county,"Honolulu, HI",tiger
,,,
12196987,name_base,Wilder,tiger
,,,
12196987,name_type,Ave,tiger
,,,
12196987,reviewed,no,tiger
,,,
12197007,highway,residential,regular
,,,
12197007,name,Hanakapiai Street,regular
,,,
12197007,surface,asphalt,regular
,,,
12197017,highway,residential,regular
,,,
12197017,name,Ukali Street,regular
,,,
12197017,cfcc,A41,tiger
,,,
12197017,county,"Honolulu, HI",tiger
,,,
12197017,name_base,Ukali,tiger
,,,
12197017,name_type,St,tiger
,,,
12197017,reviewed,no,tiger
,,,
12197070,highway,living_street,regular
,,,
12197070,name,Hopena Way,regular
,,,
12197080,highway,residential,regular
,,,
12197080,name,Haili Road,regular
,,,
12197080,cfcc,A41,tiger
,,,
12197080,county,"Honolulu, HI",tiger
,,,
12197080,name_base,Haili,tiger
,,,
12197080,name_type,Rd,tiger
,,,
12197080,reviewed,no,tiger
,,,
12197087,highway,residential,regular
,,,
